Date,Close
1/5/2011,10380.77
1/6/2011,10529.76
1/7/2011,10541.04
1/11/2011,10510.68
1/12/2011,10512.80
1/13/2011,10589.76
1/14/2011,10499.04
1/17/2011,10502.86
1/18/2011,10518.98
1/19/2011,10557.10
1/20/2011,10437.31
1/21/2011,10274.52
1/24/2011,10345.11
1/25/2011,10464.42
1/26/2011,10401.90
1/27/2011,10478.66
1/28/2011,10360.34
1/31/2011,10237.92
2/1/2011,10274.50
2/2/2011,10457.36
2/3/2011,10431.36
2/4/2011,10543.52
2/7/2011,10592.04
2/8/2011,10635.98
2/9/2011,10617.83
2/10/2011,10605.65
2/14/2011,10725.54
2/15/2011,10746.67
2/16/2011,10808.29
2/17/2011,10836.64
2/18/2011,10842.80
2/21/2011,10857.53
2/22/2011,10664.70
2/23/2011,10579.10
2/24/2011,10452.71
2/25/2011,10526.76
2/28/2011,10624.09
3/1/2011,10754.03
3/2/2011,10492.38
3/3/2011,10586.02
3/4/2011,10693.66
3/7/2011,10505.02
3/8/2011,10525.19
3/9/2011,10589.50
3/10/2011,10434.38
3/11/2011,10254.43
3/14/2011,9620.49
3/15/2011,8605.15
3/16/2011,9093.72
3/17/2011,8962.67
3/18/2011,9206.75
3/22/2011,9608.32
3/23/2011,9449.47
3/24/2011,9435.01
3/25/2011,9536.13
3/28/2011,9478.53
3/29/2011,9459.08
3/30/2011,9708.79
3/31/2011,9755.10
4/1/2011,9708.39
4/4/2011,9718.89
4/5/2011,9615.55
4/6/2011,9584.37
4/7/2011,9590.93
4/8/2011,9768.08
4/11/2011,9719.70
4/12/2011,9555.26
4/13/2011,9641.18
4/14/2011,9653.92
4/15/2011,9591.52
4/18/2011,9556.65
4/19/2011,9441.03
4/20/2011,9606.82
4/21/2011,9685.77
4/22/2011,9682.21
4/25/2011,9671.96
4/26/2011,9558.69
4/27/2011,9691.84
4/28/2011,9849.74
5/2/2011,10004.20
5/6/2011,9859.20
5/9/2011,9794.38
5/10/2011,9818.76
5/11/2011,9864.26
5/12/2011,9716.65
5/13/2011,9648.77
5/16/2011,9558.30
5/17/2011,9567.02
5/18/2011,9662.08
5/19/2011,9620.82
5/20/2011,9607.08
5/23/2011,9460.63
5/24/2011,9477.17
5/25/2011,9422.88
5/26/2011,9562.05
